,gene,sg^Ind1^Rep1^CellType
414,gene-532,-0.17151422910038505
415,gene-533,0.18140254098464575
416,gene-534,-0.24274152454304604
417,gene-536,-0.26865559228821206
418,gene-541,0.17644701265614413
419,gene-542,0.08065984680068883
420,gene-544,0.05823017424595274
421,gene-545,0.003339241135528058
422,gene-547,0.18865978286655505
423,gene-548,-0.2837932155760966
424,gene-549,0.2898205108753941
425,gene-550,0.22045715969038315
426,gene-551,0.20898352549962954
427,gene-553,0.32436556850393217
428,gene-556,0.2572064695205185
429,gene-557,0.19740960589795264
430,gene-558,-0.02517299216598797
431,gene-559,-0.036777001296172694
432,gene-560,0.15333088689387242
433,gene-561,0.5089370651919971
434,gene-562,0.12557599161612037
435,gene-563,0.2031707816784767
436,gene-564,0.47293093225611216
437,gene-565,-0.11888173132735608
438,gene-566,-0.3083972840074407
439,gene-567,-0.2650432722423304
440,gene-568,0.018094032653980546
441,gene-569,0.3677458299484969
442,gene-570,-0.26328761482382385
443,gene-571,-0.012944952570052206
444,gene-572,-0.13609524642287596
445,gene-573,0.3940504639685684
446,gene-574,0.032864216476855924
447,gene-575,-0.33724148405104853
448,gene-576,0.23589832096128305
449,gene-577,0.0889902353569205
450,gene-578,-0.3680748193850043
451,gene-579,0.23168720635596776
452,gene-580,0.19301816819210052
453,gene-582,-0.28429425641886746
454,gene-583,-0.055147100435679136
455,gene-584,-0.16262397735173553
456,gene-586,-0.0769704481442162
457,gene-587,0.08424212006800863
458,gene-588,-0.6862732978872684
459,gene-589,-0.22476936546258844
460,gene-590,0.0585473078935052
461,gene-591,0.003702561355115909
462,gene-592,-0.6727792970379517
463,gene-593,0.013900865439346382
464,gene-594,0.041620402850423316
465,gene-595,0.2902294536778917
466,gene-596,-0.1901232132266486
467,gene-597,0.20074865285291563
468,gene-598,0.1093731153610237
469,gene-599,-0.03873408643427107
470,gene-600,0.14018180901966906
471,gene-601,-0.18940172077106615
472,gene-602,0.08227064890170498
473,gene-603,0.06637324457428302
474,gene-604,0.21910531474674486
475,gene-605,-0.06272688720984122
476,gene-606,-0.03411435179408781
477,gene-607,0.06928627923359447
478,gene-609,0.001429466780212584
479,gene-610,0.31707023895274133
480,gene-612,-0.4136652465311777
481,gene-613,-0.13607001848393455
482,gene-614,0.22763214149481203
483,gene-615,0.33985916305550734
484,gene-616,0.13841690701243428
485,gene-617,0.09300407056084475
486,gene-618,-0.06878847612686556
487,gene-619,-0.014956322984438872
488,gene-621,0.4214163759275636
489,gene-622,-0.1916721273975881
490,gene-625,0.08430332818025124
491,gene-626,0.04606699401687919
492,gene-627,0.11447120203834157
493,gene-628,0.12143789681586284
494,gene-629,0.18784581101673228
495,gene-630,-0.019636344561682378
496,gene-631,0.26405139024123875
497,gene-632,0.0955598626626185
498,gene-633,0.1440715039695809
499,gene-634,0.03167150900677747
500,gene-635,0.044746023938181036
501,gene-637,-0.2954429777333729
502,gene-638,0.3891435320420165
503,gene-640,-0.020167912221985725
504,gene-641,-0.30723448972009126
505,gene-642,0.2530708399675667
506,gene-643,-0.32773905778351053
507,gene-644,0.18399054161000447
508,gene-645,0.21799167810139863
509,gene-646,0.06317669575283348
510,gene-647,-0.4342005052746422
511,gene-649,-0.273108174413455
512,gene-650,-0.21883589973275264
513,gene-652,0.009196895070917943
514,gene-653,0.20932450290068516
515,gene-655,0.15609432366474593
516,gene-657,0.15059205209311685
517,gene-659,-0.25395708151787844
518,gene-660,-0.2804850657640756
