,gene,sg^Ind1^Rep1^CellType
412,gene-530,-10.288569104489254
413,gene-531,-11.598579419496643
414,gene-532,-10.573245151457728
415,gene-533,-11.126370400090245
416,gene-534,-10.088445541001986
417,gene-536,-10.702925116781932
418,gene-541,-8.559216546907786
419,gene-542,-8.747791569645823
420,gene-544,-11.58779289109358
421,gene-545,-9.680140816026654
422,gene-547,-11.00080721770116
423,gene-548,-10.378859982634983
424,gene-549,-10.839384003005334
425,gene-550,-9.08964353912795
426,gene-551,-10.94271242952097
427,gene-553,-8.818665407053196
428,gene-556,-10.882410948884278
429,gene-557,-10.531513798533918
430,gene-558,-11.628481420220194
431,gene-559,-10.997379524357523
432,gene-560,-10.214888238001905
433,gene-561,-11.475804687247852
434,gene-562,-10.990510107878512
435,gene-563,-10.41219222829048
436,gene-564,-11.221748687495625
437,gene-565,-10.725916318487807
438,gene-566,-10.639937147352885
439,gene-567,-11.306681711562412
440,gene-568,-10.313786785953495
441,gene-569,-11.57887707188983
442,gene-570,-9.8366644635272
443,gene-571,-10.701058343584078
444,gene-572,-10.02613096991885
445,gene-573,-10.781926686512142
446,gene-574,-8.592905504774324
447,gene-575,-8.877618809175603
448,gene-576,-9.776985410088512
449,gene-577,-7.60498094426401
450,gene-578,-9.608914165731697
451,gene-579,-10.782512732577777
452,gene-580,-9.091920382036134
453,gene-582,-10.52547738862027
454,gene-583,-9.565948191701551
455,gene-584,-10.332185318483914
456,gene-586,-9.246549762645538
457,gene-587,-10.523817159052628
458,gene-588,-11.532838118482418
459,gene-589,-10.827242345677085
460,gene-590,-11.668333053527082
461,gene-591,-8.730956181659533
462,gene-592,-11.570350217417138
463,gene-593,-8.497220032388306
464,gene-594,-9.502862310953024
465,gene-595,-8.853737809223421
466,gene-596,-10.40716331941292
467,gene-597,-8.329721478157968
468,gene-598,-9.936243518255653
469,gene-599,-9.09856653259328
470,gene-600,-9.967587836605935
471,gene-601,-11.628579084962656
472,gene-602,-8.647847065063658
473,gene-603,-7.903506813391546
474,gene-604,-8.868065869331852
475,gene-605,-9.858609472178303
476,gene-606,-10.933099259595904
477,gene-607,-10.093412154256303
478,gene-609,-9.739315921467242
479,gene-610,-9.827296649732807
480,gene-612,-10.351674149659512
481,gene-613,-11.380945938825386
482,gene-614,-10.60049950863835
483,gene-615,-10.403252195639393
484,gene-616,-10.131740979924992
485,gene-617,-10.76356320899818
486,gene-618,-9.781234816945375
487,gene-619,-11.315211667618781
488,gene-621,-9.677221802303315
489,gene-622,-10.50486293450427
490,gene-625,-8.432608339425624
491,gene-626,-9.001566172516103
492,gene-627,-7.193375643906275
493,gene-628,-7.4377389726768435
494,gene-629,-9.260049808424569
495,gene-630,-8.648563776449425
496,gene-631,-8.809326683126194
