gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
MTG1,species,-0.00845142669517263,0.029579890972272677,0.8086983083676245,0.1493248398583074,0.08937250674887288,0.09775060493473331,0.8347100039892692,0.4341452891088928
PPRC1,species,0.1570724458241441,0.04647268489845468,0.0008401785932808435,0.020562433189506818,0.1065861433608066,0.8804410623308168,0.0013625173474368796,0.9661060475840686
CNNM2,species,-0.08168732451023812,0.02667601290244736,0.002129450190459561,-0.01969010451924126,0.06980970146053514,0.7137406884893595,0.0032910826415162315,0.914211354334204
PDCD11,species,0.2516954665368608,0.0274138363438295,3.027742675268414e-20,-0.024475375550692072,0.0751376307012288,0.7818219327114647,1.315144359832059e-19,0.9351991650186772
MPP7,species,-0.17384227324926924,0.03334986588407189,1.9866062074466058e-07,0.034602232484062155,0.08056306790958076,0.7458376299684224,4.3848113427695715e-07,0.9262816215591287
ITGB1,species,-0.09775779197630736,0.018968667619621807,2.722539341520511e-07,0.07856295220291945,0.11376460951672882,0.5002294951827986,5.947375466250141e-07,0.8314299629735059
PCDH15,species,-0.7326900988731231,0.058037951286639605,4.404607912121137e-36,0.273644509110425,0.16434708713172055,0.0648584490349553,3.086366078885595e-35,0.353863377038736
ARID5B,species,-0.2306607520913733,0.026353728534654855,1.3894986416948474e-18,0.11581922776969227,0.062137295160113216,0.05896991506907792,5.553756136758968e-18,0.33644519032880305
PDCD4,species,0.39966205233591123,0.026884963916801816,6.058588335755909e-50,0.20908803280444807,0.07438931966440755,0.005744113242756758,5.866086391097655e-49,0.07464498894967542
DOCK1,species,0.05777804686258403,0.016742644818931614,0.0005580268589074414,-0.07157074275315126,0.05026673699730631,0.1641433216828257,0.0009216744301097124,0.5485536841831702
PIP4K2A,species,0.007788304864227777,0.03031623335840115,0.7864111397970095,0.00658445082998495,0.07083206620167128,0.7963596583903353,0.8140571930327963,0.9371291570824067
ANK3,species,-0.011882014235115576,0.025303596875300177,0.618481056022314,-0.10916591211908803,0.0705608880504197,0.10361372508429373,0.6584289861133964,0.4445698112210896
IPMK,species,0.19282038321702574,0.03466596222523261,2.781970603938633e-08,-0.04831781210243082,0.08519494181978596,0.49697199209221865,6.480549003900899e-08,0.8295528241675209
DLG5,species,-0.18980716657200622,0.02109414897801081,2.4027064131442133e-19,0.05570150953730847,0.0689314409937416,0.4072326622374858,9.984184894365647e-19,0.7729139358716065
DIP2C,species,0.02189294685581739,0.01089622123370985,0.042018204992974206,0.029575986089344045,0.04399011465821039,0.45906990206899034,0.055149770893950456,0.8074018332800488
